District,,Member2016,Party16,Clinton16,Trump16,Dem16,State,Party18,Dem18,Flip18,Gerry
PA-10,,"Marino, Tom",(R),30.2,66.1,0,PA,(R),0,0,mid
PA-11,,"Barletta, Lou",(R),36.2,60,0,PA,(R),0,0,mid
PA-12,,"Rothfus, Keith",(R),37.9,58.7,0,PA,(R),0,0,mid
PA-13,,"Boyle, Brendan",(D),65.3,31.7,1,PA,(R),0,-1,mid
PA-14,,"Doyle, Michael",(D),66,30.5,1,PA,(R),0,-1,mid
PA-15,,"Dent, Charlie",(R),44.2,51.8,0,PA,(R),0,0,mid
PA-16,,"Smucker, Lloyd",(R),44.2,51,0,PA,(R),0,0,mid
PA-17,,"Cartwright, Matt",(D),43.3,53.4,1,PA,(D),1,0,mid
PA-18,,"Murphy, Tim",(R),38.5,58.1,0,PA,(D),1,1,mid
RI-01,,"Cicilline, David",(D),60.5,34.9,1,RI,(D),1,0,mid
RI-02,,"Langevin, Jim",(D),51.1,44,1,RI,(D),1,0,mid
SC-01,,"Sanford, Mark",(R),40.4,53.5,0,SC,(D),1,1,mid
SC-02,,"Wilson, Joe",(R),38.6,56.3,0,SC,(R),0,0,mid
SC-03,,"Duncan, Jeff",(R),29,67,0,SC,(R),0,0,mid
SC-04,,"Gowdy, Trey",(R),34.5,60.2,0,SC,(R),0,0,mid
SC-05,,"Mulvaney, Mick",(R),38.8,57.3,0,SC,(R),0,0,mid
SC-06,,"Clyburn, Jim",(D),66.8,30.3,1,SC,(D),1,0,mid
SC-07,,"Rice, Tom",(R),39.1,58,0,SC,(R),0,0,mid
SD-AL,,"Noem, Kristi",(R),31.7,61.5,0,SD,(R),0,0,mid
TN-01,,"Roe, Phil",(R),19.7,76.7,0,TN,(R),0,0,mid
TN-02,,"Duncan, John",(R),29.7,65.1,0,TN,(R),0,0,mid
TN-03,,"Fleischmann, Chuck",(R),30.2,65.4,0,TN,(R),0,0,mid
TN-04,,"DesJarlais, Scott",(R),27.4,68.6,0,TN,(R),0,0,mid
TN-05,,"Cooper, Jim",(D),56.6,38.2,1,TN,(D),1,0,mid
TN-06,,"Black, Diane",(R),23.7,72.6,0,TN,(R),0,0,mid
TN-07,,"Blackburn, Marsha",(R),28.2,67.5,0,TN,(R),0,0,mid
TN-08,,"Kustoff, David",(R),30.7,66.3,0,TN,(R),0,0,mid
TN-09,,"Cohen, Steve",(D),77.5,19.8,1,TN,(D),1,0,mid
TX-01,,"Gohmert, Louie",(R),25.3,72.2,0,TX,(R),0,0,mid
TX-02,,"Poe, Ted",(R),43.1,52.4,0,TX,(R),0,0,mid
TX-03,,"Johnson, Sam",(R),40.6,54.8,0,TX,(R),0,0,mid
TX-04,,"Ratcliffe, John",(R),21.8,75.4,0,TX,(R),0,0,mid
TX-05,,"Hensarling, Jeb",(R),34.3,62.7,0,TX,(R),0,0,mid
TX-06,,"Barton, Joe",(R),41.9,54.2,0,TX,(R),0,0,mid
TX-07,,"Culberson, John",(R),48.5,47.1,0,TX,(D),1,1,mid
TX-08,,"Brady, Kevin",(R),23.9,72.7,0,TX,(R),0,0,mid
TX-09,,"Green, Al",(D),79.3,18,1,TX,(D),1,0,mid
TX-10,,"McCaul, Michael",(R),43.2,52.3,0,TX,(R),0,0,mid
TX-11,,"Conaway, Michael",(R),19.1,77.8,0,TX,(R),0,0,mid
TX-12,,"Granger, Kay",(R),32.7,62.9,0,TX,(R),0,0,mid
TX-13,,"Thornberry, Mac",(R),16.9,79.9,0,TX,(R),0,0,mid
TX-14,,"Weber, Randy",(R),38.4,58.2,0,TX,(R),0,0,mid
TX-15,,"Gonzalez, Vicente",(D),56.7,40,1,TX,(D),1,0,mid
TX-16,,"O'Rourke, Beto",(D),67.9,27.2,1,TX,(D),1,0,mid
TX-17,,"Flores, Bill",(R),38.8,56.3,0,TX,(R),0,0,mid
TX-18,,"Jackson-Lee, Sheila",(D),76.5,20,1,TX,(D),1,0,mid
TX-19,,"Arrington, Jodey",(R),23.5,72.5,0,TX,(R),0,0,mid
TX-20,,"Castro, Joaquin",(D),61,34.3,1,TX,(D),1,0,mid
TX-21,,"Smith, Lamar",(R),42.5,52.5,0,TX,(R),0,0,mid
TX-22,,"Olson, Pete",(R),44.2,52.1,0,TX,(R),0,0,mid
TX-23,,"Hurd, Will",(R),49.8,46.4,0,TX,(R),0,0,mid
TX-24,,"Marchant, Kenny",(R),44.5,50.7,0,TX,(R),0,0,mid
TX-25,,"Williams, Roger",(R),40.2,55.1,0,TX,(R),0,0,mid
TX-26,,"Burgess, Michael",(R),34.4,60.9,0,TX,(R),0,0,mid
TX-27,,"Farenthold, Blake",(R),36.5,60.1,0,TX,(R),0,0,mid
TX-28,,"Cuellar, Henry",(D),58.3,38.5,1,TX,(D),1,0,mid
TX-29,,"Green, Gene",(D),71.1,25.4,1,TX,(D),1,0,mid
TX-30,,"Johnson, E.B.",(D),79.1,18.3,1,TX,(D),1,0,mid
TX-31,,"Carter, John",(R),40.8,53.5,0,TX,(R),0,0,mid
TX-32,,"Sessions, Pete",(R),48.5,46.6,0,TX,(D),1,1,mid
TX-33,,"Veasey, Marc",(D),72.9,23.7,1,TX,(D),1,0,mid
TX-34,,"Vela, Filemon",(D),59.2,37.7,1,TX,(D),1,0,mid
TX-35,,"Doggett, Lloyd",(D),64.1,30.5,1,TX,(D),1,0,mid
TX-36,,"Babin, Brian",(R),25.2,72,0,TX,(R),0,0,mid
UT-01,,"Bishop, Rob",(R),22.4,49.7,0,UT,(R),0,0,mid
UT-02,,"Stewart, Chris",(R),32,46,0,UT,(R),0,0,mid
UT-03,,"Chaffetz, Jason",(R),23.3,47.2,0,UT,(R),0,0,mid
UT-04,,"Love, Mia",(R),32.4,39.1,0,UT,(R),0,0,mid
VA-01,,"Wittman, Rob",(R),41.2,53.6,0,VA,(R),0,0,high
VA-02,,"Taylor, Scott",(R),45.4,48.8,0,VA,(D),1,1,high
VA-03,,"Scott, Bobby",(D),63.6,31.9,1,VA,(D),1,0,high
VA-04,,"McEachin, Donald",(D),58.7,37.1,1,VA,(D),1,0,high
VA-05,,"Garrett, Tom",(R),42.3,53.4,0,VA,(R),0,0,high
VA-06,,"Goodlatte, Bob",(R),34.9,59.7,0,VA,(R),0,0,high
VA-07,,"Brat, Dave",(R),44,50.5,0,VA,(D),1,1,high
VA-08,,"Beyer, Don",(D),73.5,20.9,1,VA,(D),1,0,high
VA-09,,"Griffith, Morgan",(R),27.3,68.8,0,VA,(R),0,0,high
VA-10,,"Comstock, Barbara",(R),52.2,42.2,0,VA,(D),1,1,high
VA-11,,"Connolly, Gerry",(D),66.9,27.5,1,VA,(D),1,0,high
VT-AL,,"Welch, Peter",(D),56.7,30.3,1,VT,(D),1,0,mid
WA-01,,"DelBene, Suzan",(D),54.1,37.8,1,WA,(D),1,0,mid
WA-02,,"Larsen, Rick",(D),56.9,34.8,1,WA,(D),1,0,mid
WA-03,,"Herrera Beutler, Jaime",(R),42.5,49.9,0,WA,(R),0,0,mid
WA-04,,"Newhouse, Dan",(R),35.1,57.9,0,WA,(R),0,0,mid
WA-05,,"McMorris Rodgers, Cathy",(R),39.1,52.2,0,WA,(R),0,0,mid
WA-06,,"Kilmer, Derek",(D),51.8,39.5,1,WA,(D),1,0,mid
WA-07,,"Jayapal, Pramila",(D),82.1,12.2,1,WA,(D),1,0,mid
WA-08,,"Reichert, David",(R),47.7,44.7,0,WA,(D),1,1,mid
WA-09,,"Smith, Adam",(D),70.5,23.3,1,WA,(D),1,0,mid
WA-10,,"Heck, Denny",(D),51.3,39.9,1,WA,(D),1,0,mid
WI-01,,"Ryan, Paul",(R),42.3,52.6,0,WI,(R),0,0,mid
WI-02,,"Pocan, Mark",(D),65.8,29,1,WI,(D),1,0,mid
WI-03,,"Kind, Ron",(D),44.8,49.3,1,WI,(D),1,0,mid
WI-04,,"Moore, Gwen",(D),74,21.8,1,WI,(D),1,0,mid
WI-05,,"Sensenbrenner, Jim",(R),37.3,57.4,0,WI,(R),0,0,mid
WI-06,,"Grothman, Glenn",(R),38.8,55.7,0,WI,(R),0,0,mid
WI-07,,"Duffy, Sean",(R),37.3,57.8,0,WI,(R),0,0,mid
WI-08,,"Gallagher, Mike",(R),38.6,56.2,0,WI,(R),0,0,mid
WV-01,,"McKinley, David",(R),26.4,68,0,WV,(R),0,0,high
WV-02,,"Mooney, Alex",(R),29.4,65.8,0,WV,(R),0,0,high
WV-03,,"Jenkins, Evan",(R),23.3,72.5,0,WV,(R),0,0,high
WY-AL,,"Cheney, Liz",(R),22.5,70.1,0,WY,(R),0,0,mid
